mal_id,url,name,name_kanji,nicknames,favorites,about,image_jpg_url,image_webp_url,image_webp_small_url
63317,https://myanimelist.net/character/63317/Edward_King,Edward King,,,4,,https://cdn.myanimelist.net/images/characters/7/280242.jpg,https://cdn.myanimelist.net/images/characters/7/280242.webp,https://cdn.myanimelist.net/images/characters/7/280242t.webp
63319,https://myanimelist.net/character/63319/Anna_Tekai,Anna Tekai,,,0,,https://cdn.myanimelist.net/images/characters/2/167697.jpg,https://cdn.myanimelist.net/images/characters/2/167697.webp,https://cdn.myanimelist.net/images/characters/2/167697t.webp
63321,https://myanimelist.net/character/63321/Demons_High_Priestess,Demon's High Priestess,鬼の手姫,Oni no Te Hime,0,,https://cdn.myanimelist.net/images/characters/14/167699.jpg,https://cdn.myanimelist.net/images/characters/14/167699.webp,https://cdn.myanimelist.net/images/characters/14/167699t.webp
63323,https://myanimelist.net/character/63323/Misaki_Mochizuki,Misaki Mochizuki,,,0,,https://cdn.myanimelist.net/images/characters/3/167701.jpg,https://cdn.myanimelist.net/images/characters/3/167701.webp,https://cdn.myanimelist.net/images/characters/3/167701t.webp
63325,https://myanimelist.net/character/63325/Yukari_Kurihara,Yukari Kurihara,,,0,,https://cdn.myanimelist.net/images/characters/8/167703.jpg,https://cdn.myanimelist.net/images/characters/8/167703.webp,https://cdn.myanimelist.net/images/characters/8/167703t.webp
63327,https://myanimelist.net/character/63327/Ryuuhei_Kasuga,Ryuuhei Kasuga,春日隆平,,2,"Age: 17 Height: 179 cm Weight: Unknown Team: Seiho Position: Point Guard Talent: Scoop Shot Number:#5  Ryuuhei Kasuga is Seiho's guard. After the Interhigh preliminaries, he and Iwamura retired from the Seiho basketball team. Kasuga is a kind and controlled person, who keeps his head cool at all times. He is respectful towards his teammates and towards his opponents. He is sportsmanlike and even acknowledged Seirin's strength after they won over Seiho, even when Seiho won last year.  Skill: Kasuga has regular ball-handling skills, fitting to his position as point guard. In his play with Tsutomu Iwamura, a hard type player, he is a soft player.",https://cdn.myanimelist.net/images/characters/3/167717.jpg,https://cdn.myanimelist.net/images/characters/3/167717.webp,https://cdn.myanimelist.net/images/characters/3/167717t.webp
63329,https://myanimelist.net/character/63329/Shizuka_Mutou,Shizuka Mutou,,,0,,https://cdn.myanimelist.net/images/characters/5/167705.jpg,https://cdn.myanimelist.net/images/characters/5/167705.webp,https://cdn.myanimelist.net/images/characters/5/167705t.webp
63331,https://myanimelist.net/character/63331/Hideaki_Hayami,Hideaki Hayami,,,0,,https://cdn.myanimelist.net/images/characters/4/167707.jpg,https://cdn.myanimelist.net/images/characters/4/167707.webp,https://cdn.myanimelist.net/images/characters/4/167707t.webp
63333,https://myanimelist.net/character/63333/Shivercalero_Donquixote,Shivercalero Donquixote,ドンキホーテ・シヴァーカレロ聖,,1,Saint Donquixote Shivercalero is a World Noble of Donquixote Family and the father of the late Donquixote Mjosgard.  (Source: One Piece Wiki),https://cdn.myanimelist.net/images/characters/9/167709.jpg,https://cdn.myanimelist.net/images/characters/9/167709.webp,https://cdn.myanimelist.net/images/characters/9/167709t.webp
63335,https://myanimelist.net/character/63335/Miko_Yasaka,Miko Yasaka,八坂 御子,,0,Furuya Mero's Classmate and friend.,https://cdn.myanimelist.net/images/characters/6/168975.jpg,https://cdn.myanimelist.net/images/characters/6/168975.webp,https://cdn.myanimelist.net/images/characters/6/168975t.webp
