mal_id,url,name,name_kanji,nicknames,favorites,about,image_jpg_url,image_webp_url,image_webp_small_url
211446,https://myanimelist.net/character/211446/Gray,Gray,グレイ,,4,"The person who gave Red his gun, Hate Song. A powerful gunslinger who ends up as Scarlet's guardian at the request of her father.  No voice actors have been added to this character. Help improve our database by searching for a voice actor, and adding this character to their roles .",https://cdn.myanimelist.net/images/characters/5/474906.jpg,https://cdn.myanimelist.net/images/characters/5/474906.webp,https://cdn.myanimelist.net/images/characters/5/474906t.webp
211447,https://myanimelist.net/character/211447/Iron,Iron,,,0,Iron is a former Third Generation member of the Knights of the Purple Smoke.,https://cdn.myanimelist.net/images/characters/9/476608.jpg,https://cdn.myanimelist.net/images/characters/9/476608.webp,https://cdn.myanimelist.net/images/characters/9/476608t.webp
211448,https://myanimelist.net/character/211448/Mountain,Mountain,お山,,3,,https://cdn.myanimelist.net/images/characters/8/474907.jpg,https://cdn.myanimelist.net/images/characters/8/474907.webp,https://cdn.myanimelist.net/images/characters/8/474907t.webp
211449,https://myanimelist.net/character/211449/Maine_Coon_Bananya,Maine Coon Bananya,メインクーンばなにゃ,,1,,https://cdn.myanimelist.net/images/characters/11/474910.jpg,https://cdn.myanimelist.net/images/characters/11/474910.webp,https://cdn.myanimelist.net/images/characters/11/474910t.webp
211450,https://myanimelist.net/character/211450/Black_and_White_Bananya,Black and White Bananya,しろくろばなにゃ,,1,,https://cdn.myanimelist.net/images/characters/10/474911.jpg,https://cdn.myanimelist.net/images/characters/10/474911.webp,https://cdn.myanimelist.net/images/characters/10/474911t.webp
211451,https://myanimelist.net/character/211451/Maid_Bananya,Maid Bananya,メイドばなにゃ,,0,,https://cdn.myanimelist.net/images/characters/8/474912.jpg,https://cdn.myanimelist.net/images/characters/8/474912.webp,https://cdn.myanimelist.net/images/characters/8/474912t.webp
211452,https://myanimelist.net/character/211452/Police_Bananya,Police Bananya,ポリスばなにゃ,,1,,https://cdn.myanimelist.net/images/characters/16/474914.jpg,https://cdn.myanimelist.net/images/characters/16/474914.webp,https://cdn.myanimelist.net/images/characters/16/474914t.webp
211453,https://myanimelist.net/character/211453/Sheriff_Bananya,Sheriff Bananya,保安官ばなにゃ,,1,,https://cdn.myanimelist.net/images/characters/9/474915.jpg,https://cdn.myanimelist.net/images/characters/9/474915.webp,https://cdn.myanimelist.net/images/characters/9/474915t.webp
248787,https://myanimelist.net/character/248787/Shin_Mikami,Shin Mikami,三上 伸,,0,,https://cdn.myanimelist.net/img/sp/icon/apple-touch-icon-256.png,https://cdn.myanimelist.net/img/sp/icon/apple-touch-icon-256.png,https://cdn.myanimelist.net/img/sp/icon/apple-touch-icon-256.png
248788,https://myanimelist.net/character/248788/Tomoki_Oikawa,Tomoki Oikawa,及川 友樹,,0,,https://cdn.myanimelist.net/img/sp/icon/apple-touch-icon-256.png,https://cdn.myanimelist.net/img/sp/icon/apple-touch-icon-256.png,https://cdn.myanimelist.net/img/sp/icon/apple-touch-icon-256.png
