mal_id,url,name,name_kanji,nicknames,favorites,about,image_jpg_url,image_webp_url,image_webp_small_url
116353,https://myanimelist.net/character/116353/Ran,Ran,蘭たん,Ran-tan,1,Appears in the Halloween special.,https://cdn.myanimelist.net/images/characters/12/454945.jpg,https://cdn.myanimelist.net/images/characters/12/454945.webp,https://cdn.myanimelist.net/images/characters/12/454945t.webp
116355,https://myanimelist.net/character/116355/Nene_Tokuda,Nene Tokuda,徳田 ねね,,0,"Nene is a minor character in the PriPara anime series. She makes her anime debut in Episode 16. Like Mirei and Sophie, she is a middle schooler at Paprika Private Academy. Her preferred brand is Twinkle Ribbon, and her casual coord is the Fairy Tale Frosting Cookies Coord.  Nene has short dark brown hair with bangs that sweep to the side. Her eyes are a rich caramel brown brown worn behind light berry-colored glasses. In PriPara, Nene's hair and general appearance look softer and and more feminine, while her eyes become a soft maroon; and her glasses become light pink.  Nene has a very determined personality, as shown when she wanted to spy on Laala in PriPara. She can also be very cold and rude at times, generally when concerning something she's trying to achieve.  Nene is the third idol to prefer Twinkle Ribbon (with the first being Laala and the second to be Hanana).  (Source: PriPara Wiki)",https://cdn.myanimelist.net/images/characters/13/358525.jpg,https://cdn.myanimelist.net/images/characters/13/358525.webp,https://cdn.myanimelist.net/images/characters/13/358525t.webp
116357,https://myanimelist.net/character/116357/Hanana,Hanana,はなな,,0,"Hanana is a minor character in the PriPara anime series. She makes her anime debut in Episode 13. She is an idol, as her PriTicket was shown in Episode 13. She is a big fan of Laala, Mirei, and Sophie. Her preferred brand is Twinkle Ribbon, and her casual coord is the Strawberry Dream Coord.  Hanana has her hair into two braids, with bangs. Her hair is brown. From what is shown on her PriTicket, she also wears a pink bow on her head. She has grey eyes but they are hidden most of the time due to the pair of thick glasses she wears in Idol Form which don't appear to be present on her real life self according to the picture on her PriTicket.  She seems to be friendly, shy and clumsy girl.  Hanana is the second idol to prefer Twinkle Ribbon (with the first being Laala).  (Source: Pri Para Wiki)",https://cdn.myanimelist.net/img/sp/icon/apple-touch-icon-256.png,https://cdn.myanimelist.net/img/sp/icon/apple-touch-icon-256.png,https://cdn.myanimelist.net/img/sp/icon/apple-touch-icon-256.png
116359,https://myanimelist.net/character/116359/Mitsugu_Jinnai,Mitsugu Jinnai,陣内 貢,,0,,https://cdn.myanimelist.net/images/characters/9/406952.jpg,https://cdn.myanimelist.net/images/characters/9/406952.webp,https://cdn.myanimelist.net/images/characters/9/406952t.webp
116361,https://myanimelist.net/character/116361/Saki__Masaoka,Saki Masaoka,将陵 佐喜,,0,,https://cdn.myanimelist.net/images/characters/2/277885.jpg,https://cdn.myanimelist.net/images/characters/2/277885.webp,https://cdn.myanimelist.net/images/characters/2/277885t.webp
116363,https://myanimelist.net/character/116363/Mai_Douma,Mai Douma,堂馬 舞,,0,,https://cdn.myanimelist.net/images/characters/16/277883.jpg,https://cdn.myanimelist.net/images/characters/16/277883.webp,https://cdn.myanimelist.net/images/characters/16/277883t.webp
116365,https://myanimelist.net/character/116365/Rei_Kuroi,Rei Kuroi,黒井 レイ,,0,"A student who appeared in chapter 258. He is in love with Annette. Incident started with him buying a mantle and a hat from her and immediately wear them.  No voice actors have been added to this character. Help improve our database by searching for a voice actor, and adding this character to their roles .",https://cdn.myanimelist.net/img/sp/icon/apple-touch-icon-256.png,https://cdn.myanimelist.net/img/sp/icon/apple-touch-icon-256.png,https://cdn.myanimelist.net/img/sp/icon/apple-touch-icon-256.png
116367,https://myanimelist.net/character/116367/General_Grosvenor,General Grosvenor,グローブナー将軍,,0,,https://cdn.myanimelist.net/images/characters/11/264363.jpg,https://cdn.myanimelist.net/images/characters/11/264363.webp,https://cdn.myanimelist.net/images/characters/11/264363t.webp
116369,https://myanimelist.net/character/116369/Bennett,Bennett,ベネット,,0,,https://cdn.myanimelist.net/images/characters/5/264365.jpg,https://cdn.myanimelist.net/images/characters/5/264365.webp,https://cdn.myanimelist.net/images/characters/5/264365t.webp
116373,https://myanimelist.net/character/116373/Mark,Mark,マーク,,0,,https://cdn.myanimelist.net/images/characters/5/264367.jpg,https://cdn.myanimelist.net/images/characters/5/264367.webp,https://cdn.myanimelist.net/images/characters/5/264367t.webp
116375,https://myanimelist.net/character/116375/Eddie,Eddie,エディ,,1,,https://cdn.myanimelist.net/images/characters/13/264369.jpg,https://cdn.myanimelist.net/images/characters/13/264369.webp,https://cdn.myanimelist.net/images/characters/13/264369t.webp
116377,https://myanimelist.net/character/116377/Inspector_Konaizo,Inspector Konaizo,コナイゾー警部,,0,,https://cdn.myanimelist.net/images/characters/4/457430.jpg,https://cdn.myanimelist.net/images/characters/4/457430.webp,https://cdn.myanimelist.net/images/characters/4/457430t.webp
116379,https://myanimelist.net/character/116379/Hageito,Hageito,ハゲイトー,,0,,https://cdn.myanimelist.net/images/characters/13/457435.jpg,https://cdn.myanimelist.net/images/characters/13/457435.webp,https://cdn.myanimelist.net/images/characters/13/457435t.webp
116381,https://myanimelist.net/character/116381/Chief_Shakil,Chief Shakil,シャキル署長,,0,,https://cdn.myanimelist.net/images/characters/2/457436.jpg,https://cdn.myanimelist.net/images/characters/2/457436.webp,https://cdn.myanimelist.net/images/characters/2/457436t.webp
116383,https://myanimelist.net/character/116383/Marukin,Marukin,丸金,,0,,https://cdn.myanimelist.net/images/characters/3/457489.jpg,https://cdn.myanimelist.net/images/characters/3/457489.webp,https://cdn.myanimelist.net/images/characters/3/457489t.webp
116385,https://myanimelist.net/character/116385/Joutarou,Joutarou,錠太郎,,0,,https://cdn.myanimelist.net/images/characters/9/457488.jpg,https://cdn.myanimelist.net/images/characters/9/457488.webp,https://cdn.myanimelist.net/images/characters/9/457488t.webp
116387,https://myanimelist.net/character/116387/Hess,Hess,ヘス,,0,Hess is an army commander.,https://cdn.myanimelist.net/images/characters/15/457497.jpg,https://cdn.myanimelist.net/images/characters/15/457497.webp,https://cdn.myanimelist.net/images/characters/15/457497t.webp
116389,https://myanimelist.net/character/116389/Hatler,Hatler,ハトラー,,0,Hatler is Hess' boss and the leader of the nation's army.,https://cdn.myanimelist.net/images/characters/13/457498.jpg,https://cdn.myanimelist.net/images/characters/13/457498.webp,https://cdn.myanimelist.net/images/characters/13/457498t.webp
116391,https://myanimelist.net/character/116391/Defender,Defender,弁護人,,0,Jinkouro's lawyer.,https://cdn.myanimelist.net/images/characters/6/264435.jpg,https://cdn.myanimelist.net/images/characters/6/264435.webp,https://cdn.myanimelist.net/images/characters/6/264435t.webp
116393,https://myanimelist.net/character/116393/Fuutarou_Jinen,Fuutarou Jinen,自然 風太郎,,0,,https://cdn.myanimelist.net/images/characters/8/457512.jpg,https://cdn.myanimelist.net/images/characters/8/457512.webp,https://cdn.myanimelist.net/images/characters/8/457512t.webp
116395,https://myanimelist.net/character/116395/Judge,Judge,裁判長,,0,The judge at Goemon's rival's trial.,https://cdn.myanimelist.net/images/characters/12/264473.jpg,https://cdn.myanimelist.net/images/characters/12/264473.webp,https://cdn.myanimelist.net/images/characters/12/264473t.webp
116397,https://myanimelist.net/character/116397/Prosecutor,Prosecutor,検事,,0,Prosecutor in Goemon's rival's trial.,https://cdn.myanimelist.net/images/characters/10/264475.jpg,https://cdn.myanimelist.net/images/characters/10/264475.webp,https://cdn.myanimelist.net/images/characters/10/264475t.webp
207592,https://myanimelist.net/character/207592/Mercédès,Mercédès,,,0,"Dante's fiancee.   No voice actors have been added to this character. Help improve our database by searching for a voice actor, and adding this character to their roles .",https://cdn.myanimelist.net/images/characters/10/468180.jpg,https://cdn.myanimelist.net/images/characters/10/468180.webp,https://cdn.myanimelist.net/images/characters/10/468180t.webp
207594,https://myanimelist.net/character/207594/Fernand,Fernand,,,0,"A fisherman from Marseille. Madly in love with Mercédès.  No voice actors have been added to this character. Help improve our database by searching for a voice actor, and adding this character to their roles .",https://cdn.myanimelist.net/images/characters/5/468183.jpg,https://cdn.myanimelist.net/images/characters/5/468183.webp,https://cdn.myanimelist.net/images/characters/5/468183t.webp
207595,https://myanimelist.net/character/207595/Danglars,Danglars,,,0,"A colleague of Dantes' and accountant on the Pharaon. He was passed over for captain in favor of Dantes.  No voice actors have been added to this character. Help improve our database by searching for a voice actor, and adding this character to their roles .",https://cdn.myanimelist.net/images/characters/3/468184.jpg,https://cdn.myanimelist.net/images/characters/3/468184.webp,https://cdn.myanimelist.net/images/characters/3/468184t.webp
207596,https://myanimelist.net/character/207596/Villefort,Villefort,,,0,"A public prosecutor. He is aware of Dantes'' innocence, but condems him to the Chateau.  No voice actors have been added to this character. Help improve our database by searching for a voice actor, and adding this character to their roles .",https://cdn.myanimelist.net/images/characters/12/468185.jpg,https://cdn.myanimelist.net/images/characters/12/468185.webp,https://cdn.myanimelist.net/images/characters/12/468185t.webp
207597,https://myanimelist.net/character/207597/Abbé_Faria,Abbé Faria,,Number 27,0,"A former priest, he is another prisoner in the Chateau d'If.   No voice actors have been added to this character. Help improve our database by searching for a voice actor, and adding this character to their roles .",https://cdn.myanimelist.net/images/characters/10/468186.jpg,https://cdn.myanimelist.net/images/characters/10/468186.webp,https://cdn.myanimelist.net/images/characters/10/468186t.webp
207599,https://myanimelist.net/character/207599/Keiko_Matsuoka,Keiko Matsuoka,松岡 ケイ子,,1,,https://cdn.myanimelist.net/images/characters/6/559855.jpg,https://cdn.myanimelist.net/images/characters/6/559855.webp,https://cdn.myanimelist.net/images/characters/6/559855t.webp
207600,https://myanimelist.net/character/207600/Ryu_Ishigori,Ryu Ishigori,石流 龍,,6,"Ryu is the hot-shot cool guy type that guys admire and girls adore. He enjoys a good fight and good women, which he had both of in his previous life. Despite not having any real regrets, Ryu compares his old life to being a ""moderate eater"". A vague thirst has been looming over him, leaving Ryu still unsatisfied because he's never had any ""dessert"" in his existence. He wants to use his chance at a second life to find an opponent worthy of satisfying his insatiable hunger because he's never felt full before.  (Source: Jujutsu Kaisen Wiki)  No voice actors have been added to this character. Help improve our database by searching for a voice actor, and adding this character to their roles .",https://cdn.myanimelist.net/images/characters/4/564911.jpg,https://cdn.myanimelist.net/images/characters/4/564911.webp,https://cdn.myanimelist.net/images/characters/4/564911t.webp
