manga_id,title,type,score,scored_by,status,volumes,chapters,start_date,end_date,members,favorites,sfw,approved,real_start_date,real_end_date,genres,themes,demographics
71547,Wana Love: Wanna Be the Honey Trap.,manga,6.9,128,finished,1,5,2013-05-08,2013-08-08,436,1,True,True,2013-05-08,2013-08-08,['Romance'],[],['Josei']
120898,Niwaka Reijou wa Outaishi Denka no Yatoware Konyakusha,manga,6.62,244,currently_publishing,,,2019-06-21,,1032,3,True,True,2019-06-21,,"['Comedy', 'Fantasy', 'Romance']",[],[]
26269,Island: Inetsu no Shou,manga,6.71,200,finished,2,18,2009-08-10,2009-09-26,502,3,False,True,2009-08-10,2009-09-26,"['Hentai', 'Mystery']",[],[]
72047,Nemuru Machi no Futari,one_shot,6.29,405,finished,,1,2014-03-01,2014-03-01,733,0,True,True,2014-03-01,2014-03-01,['Drama'],['School'],['Shoujo']
7726,Kiss to Kirai no Hantai,manga,6.41,355,finished,1,5,2003-10-01,2006-09-01,730,0,False,True,2003-10,2006-09,"['Boys Love', 'Erotica', 'Romance']",['School'],[]
17704,Usagi no Koi,one_shot,6.3,401,finished,,1,2007-01-01,2007-01-01,711,0,True,True,2007,2007,['Romance'],['School'],['Shoujo']
125500,Soshage Kanojo,manga,6.67,219,finished,1,,2019-08-16,2019-08-16,921,2,True,True,2019-08-16,2019-08-16,"['Comedy', 'Romance', 'Slice of Life']",['School'],[]
136780,Playroom 108,manga,6.67,219,finished,1,6,2017-05-30,2017-12-28,471,2,False,True,2017-05-30,2017-12-28,"['Boys Love', 'Erotica']",[],[]
79163,Mirai Nikki: Curse Diary,light_novel,6.96,112,finished,1,,2014-08-09,2014-08-09,815,19,True,True,2014-08-09,2014-08-09,"['Comedy', 'Romance', 'Supernatural']","['Harem', 'School']",[]
15368,Kusatta Kyoushi no Houteishiki dj - Happy Dream?,doujinshi,6.96,112,finished,1,1,,,285,0,True,True,,,"['Boys Love', 'Comedy']",[],[]
3671,Bikini!,manga,6.59,259,finished,2,9,2004-01-01,,478,0,True,True,2004,,['Comedy'],['School'],['Shoujo']
21232,Yaritai Hitozuma,manga,6.87,137,finished,1,11,2008-06-30,2008-06-30,372,1,False,True,2008-06-30,2008-06-30,['Hentai'],[],[]
56569,"Seiya, Mayoeru Kohitsuji ni",one_shot,6.24,421,finished,,1,2010-11-08,2010-11-08,762,0,True,True,2010-11-08,2010-11-08,['Romance'],[],['Shoujo']
10272,Seigi Keikan Monju,manga,6.98,107,finished,12,81,2004-11-19,2011-07-19,600,3,True,True,2004-11-19,2011-07-19,"['Action', 'Comedy', 'Sci-Fi']",['Mecha'],['Seinen']
3079,Rubbers 7,manga,6.98,107,finished,7,54,2002-10-19,2007-04-19,395,3,True,True,2002-10-19,2007-04-19,"['Comedy', 'Drama', 'Romance', 'Sports']",[],[]
26349,Anal Angel,manga,6.64,234,finished,1,11,2009-10-08,2010-09-24,550,7,False,True,2009-10-08,2010-09-24,"['Boys Love', 'Erotica', 'Hentai']",[],[]
2520,Furimuku dake de Anata Tsumi na Otoko,manga,6.58,264,finished,1,6,2001-01-01,2001-01-01,519,0,False,True,2001,2001,"['Boys Love', 'Comedy', 'Erotica']",[],[]
2416,Hanataba ni Te wo Agero,manga,6.61,248,finished,1,5,,,461,0,False,True,,,"['Boys Love', 'Erotica']",[],[]
4651,Shinayaka ni Kizutsuite,manga,6.68,214,finished,2,6,2002-01-01,2002-06-01,502,0,True,True,2002-01,2002-06,['Romance'],[],['Shoujo']
103230,Othello,one_shot,6.72,195,finished,,1,2014-05-28,2014-05-28,404,2,True,True,2014-05-28,2014-05-28,['Romance'],['School'],['Shoujo']
6055,Bestia,manga,6.12,454,finished,4,24,1999-01-01,2004-01-01,1420,1,True,True,1999,2004,['Action'],['Historical'],['Seinen']
43723,5000,one_shot,5.41,518,finished,,1,2012-03-15,2012-03-15,991,0,True,True,2012-03-15,2012-03-15,['Boys Love'],[],[]
120195,Renai Shoshinsha Yankee Joshi Manga Matomebon,doujinshi,6.79,165,finished,1,,2019-08-11,2019-08-11,520,1,True,True,2019-08-11,2019-08-11,"['Comedy', 'Romance', 'Slice of Life']",['School'],[]
8535,One Missed Call,manga,6.18,438,finished,2,13,2007-01-01,2007-01-01,1237,3,True,True,2007,2007,"['Drama', 'Horror', 'Supernatural']",['Psychological'],[]
24415,Sister Driller,manga,6.83,151,finished,1,9,2008-05-21,2010-06-21,444,5,False,True,2008-05-21,2010-06-21,['Hentai'],[],[]
13250,14 Juicy,manga,6.5,307,finished,2,33,2006-01-01,2007-01-01,1041,1,True,True,2006,2007,"['Comedy', 'Ecchi', 'Slice of Life']",['School'],[]
20932,Oneechan Whisper,manga,6.74,186,finished,1,10,2010-02-07,2010-02-07,546,1,False,True,2010-02-07,2010-02-07,['Hentai'],[],[]
6051,Maid in Prince,manga,6.5600000000000005,274,finished,1,6,2004-01-01,,662,1,False,True,2004,,"['Boys Love', 'Comedy', 'Erotica']",['School'],[]
151467,Gal Assistant,manga,6.3,399,currently_publishing,,,2022-09-08,,1941,0,True,True,2022-09-08,,"['Comedy', 'Ecchi']","['Otaku Culture', 'Romantic Subtext']",[]
5484,Toriko: Aigan Shoujo,manga,6.29,403,finished,6,24,2002-07-24,2004-06-24,1079,11,True,True,2002-07-24,2004-06-24,"['Drama', 'Romance']","['Historical', 'Psychological']",['Shoujo']
117732,19-sai no Porno Endeavor,manga,6.67,218,finished,1,7,2017-09-01,2018-05-01,650,1,False,True,2017-09-01,2018-05-01,"['Boys Love', 'Erotica']",[],[]
12402,Shinu ni wa Ii Hi da,one_shot,5.32,518,finished,,1,,,1080,2,False,True,,,"['Drama', 'Hentai']",[],[]
21145,Tooi Hi no Chou,manga,6.97,109,finished,1,7,2008-07-19,2010-04-19,532,0,False,True,2008-07-19,2010-04-19,"['Boys Love', 'Erotica']",['Music'],[]
110993,Mikazuki Kottouhinten no Kanban Neko,manga,6.58,263,finished,1,6,2017-04-26,2017-08-16,618,2,True,True,2017-04-26,2017-08-16,"['Boys Love', 'Drama']",[],[]
